case_id,scenario_id,test_goal,corpus_profile,fixture_id,question,expected_behavior,execution_status
TC-V2-GOVERNANCE-QA-01,GOVERNANCE,business_qa,emp_only,staff_amy,总部、区域和站点分别负责哪一层管理？站点对外承诺找谁统一把关？,complete_answer,not_run
TC-V2-EMPLOYMENT-QA-01,EMPLOYMENT,business_qa,emp_only,staff_amy,我被安排上夜班，是不是就自动变成临时工？入职合同应写清什么？,complete_answer,not_run
TC-V2-PAYSLIP-QA-01,PAYSLIP,business_qa,emp_only,staff_amy,工资单工时和我记录的不一致，应该找谁核对？过了公司建议反馈时间是不是就不能纠正？,complete_answer,not_run
TC-V2-CONFLICT-QA-01,CONFLICT,business_qa,emp_only,staff_amy,亲属的维修公司想参加我负责的采购，即使我觉得能公平评选，也需要申报和回避吗？,complete_answer,not_run
TC-V2-HARASSMENT-QA-01,HARASSMENT,business_qa,emp_only,staff_amy,被投诉的人就是我的直属主管，我必须先经过他才能举报吗？材料不完整会不会不受理？,complete_answer,not_run
TC-V2-PERFORMANCE-QA-01,PERFORMANCE,business_qa,emp_only,staff_amy,员工只是业务能力未达标，没有发现违规，能不能直接按违纪处理？改进计划应写哪些内容？,complete_answer,not_run
TC-V2-DATA-ACCESS-QA-01,DATA-ACCESS,business_qa,emp_only,staff_amy,我是主管，能不能因为好奇查看同事病假和工资？需要额外权限时该怎么申请？,complete_answer,not_run
TC-V2-NIGHT-GENERAL-QA-01,NIGHT-GENERAL,business_qa,emp_only,staff_amy,单人夜班怎么报备？遇到情绪激动的住户能独自硬处理吗？,complete_answer,not_run
TC-V2-LEAVE-QA-01,LEAVE,business_qa,emp_only,staff_amy,普通年假怎么申请？遇到紧急照护来不及提前申请该怎么办？,complete_answer,not_run
TC-V2-EAP-QA-01,EAP,business_qa,emp_only,staff_amy,使用 EAP 前必须告诉主管咨询什么吗？公司能看到内容或把它用于晋升考核吗？,complete_answer,not_run
TC-V2-HIRING-QA-01,HIRING,business_qa,emp_only,staff_amy,所有岗位都统一查犯罪记录最省事吗？应如何限定核验范围和结果用途？,complete_answer,not_run
TC-V2-OFFBOARD-QA-01,OFFBOARD,business_qa,emp_only,staff_amy,员工离职后可以留一份住户名单方便以后交接吗？公司应回收哪些系统访问？,complete_answer,not_run
TC-V2-GOVERNANCE-LOOKUP-01,GOVERNANCE,document_lookup,emp_only,staff_amy,请定位 SC-EMP-001 第 3.1 条/节 并概括其要求。,complete_answer,not_run
